objectid,parentid,title,alt_title,creator,editor,date,description,subject,location,latitude,longitude,source,identifier,identifier2,locus,type,format,language,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
portada,,Grabado de la edición de L'ingénieux hidalgo Don Quichotte de la Manche (Hachette) ,,Gustave Doré,,1863,Álvaro Tarfe declara no ser Don Quijote el protagonista del de Avellaneda,,París,48.864716,2.349014,"<a href=""https://www.cervantesvirtual.com/portales/quijote_banco_imagenes_qbi/ficha_imagen/?id=1241"" target=""_blank"">Biblioteca virtual Cervantes</a>",,,,Image;StillImage,image/jpeg,,,/objects/portada.jpg,/objects/small/portada.jpg,/objects/thumbs/portada.jpg,,
quijote_avellaneda,,"Segundo tomo del ingenioso hidalgo Don Quixote de la Mancha, que contiene su tercera salida : y es la quinta parte de sus aventuras",,Alonso Fernández de Avellaneda,Florencio Sevilla Arroyo,1614,"Segundo tomo del Ingenioso hidalgo don Quijote de la Mancha, que contiene su tercera salida y es la quinta parte de sus aventuras",prosa; impreso,Tarragona,41.11905,1.24544,Biblioteca Nacional (España),sig. R/32541,,1r-1v,,,español,transcripciones,,/objects/small/fIr.jpg,/objects/thumbs/fIr.jpg,,/objects/transcripciones/quijote_avellaneda.html
f1r_quijote_avellaneda,quijote_avellaneda,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/f1r.jpg,/objects/small/f1r.jpg,/objects/thumbs/f1r.jpg,,
f1v_quijote_avellaneda,quijote_avellaneda,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/f1v.jpg,/objects/small/f1v.jpg,/objects/thumbs/f1v.jpg,,
ebook_quijote_avellaneda,quijote_avellaneda, ,,,,,,,,,,,,,,Text,application/epub,,,/objects/ebooks/quijote_avellaneda.epub,,,,
